2024-11-24 22:13:05,058 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:13:05,660 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:13:06,095 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:14:09,908 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:14:36,425 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:14:37,152 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:14:37,613 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:16:20,984 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:17:08,157 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:17:08,896 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:17:09,343 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:18:43,107 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:18:55,391 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:19:20,923 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:19:21,659 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:19:22,103 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:21:49,988 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:22:26,498 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:30:14,234 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:35:04,130 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:35:04,635 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:35:05,105 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:35:50,210 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:38:36,582 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:39:11,347 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:39:11,859 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:39:12,321 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:42:31,799 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:42:55,957 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:42:56,642 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:42:57,085 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:43:42,270 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
2024-11-24 22:44:44,122 - INFO - OpenAIHelper initialized with model: gpt-4o-mini, embedder: text-embedding-3-small, and async_mode: True
